f 1m 1f 2m 2f
1.0000e+003 5.00000e+000 179.991 7.95775e-004 90.000
1.0235e+003 5.00000e+000 179.991 7.77480e-004 90.000
1.0476e+003 5.00000e+000 179.991 7.59606e-004 90.000
1.0723e+003 5.00000e+000 179.991 7.42142e-004 90.000
1.0975e+003 5.00000e+000 179.992 7.25080e-004 90.000
1.1233e+003 5.00000e+000 179.992 7.08411e-004 90.000
1.1498e+003 5.00000e+000 179.992 6.92124e-004 90.000
1.1768e+003 5.00000e+000 179.992 6.76212e-004 90.000
1.2045e+003 5.00000e+000 179.992 6.60666e-004 90.000
1.2328e+003 5.00000e+000 179.993 6.45477e-004 90.000
1.2619e+003 5.00000e+000 179.993 6.30638e-004 90.000
1.2915e+003 5.00000e+000 179.993 6.16139e-004 90.000
1.3219e+003 5.00000e+000 179.993 6.01974e-004 90.000
1.3530e+003 5.00000e+000 179.993 5.88135e-004 90.000
1.3849e+003 5.00000e+000 179.993 5.74614e-004 90.000
1.4175e+003 5.00000e+000 179.994 5.61403e-004 90.000
1.4508e+003 5.00000e+000 179.994 5.48497e-004 90.000
1.4850e+003 5.00000e+000 179.994 5.35887e-004 90.000
1.5199e+003 5.00000e+000 179.994 5.23567e-004 90.000
1.5557e+003 5.00000e+000 179.994 5.11530e-004 90.000
1.5923e+003 5.00000e+000 179.994 4.99770e-004 90.000
1.6298e+003 5.00000e+000 179.994 4.88280e-004 90.000
1.6681e+003 5.00000e+000 179.995 4.77054e-004 90.000
1.7074e+003 5.00000e+000 179.995 4.66087e-004 90.000
1.7475e+003 5.00000e+000 179.995 4.55372e-004 90.000
1.7886e+003 5.00000e+000 179.995 4.44903e-004 90.000
1.8307e+003 5.00000e+000 179.995 4.34674e-004 90.000
1.8738e+003 5.00000e+000 179.995 4.24681e-004 90.000
1.9179e+003 5.00000e+000 179.995 4.14918e-004 90.000
1.9630e+003 5.00000e+000 179.995 4.05379e-004 90.000
2.0092e+003 5.00000e+000 179.995 3.96059e-004 90.000
2.0565e+003 5.00000e+000 179.996 3.86954e-004 90.000
2.1049e+003 5.00000e+000 179.996 3.78057e-004 90.000
2.1544e+003 5.00000e+000 179.996 3.69366e-004 90.000
2.2051e+003 5.00000e+000 179.996 3.60874e-004 90.000
2.2570e+003 5.00000e+000 179.996 3.52578e-004 90.000
2.3101e+003 5.00000e+000 179.996 3.44472e-004 90.000
2.3645e+003 5.00000e+000 179.996 3.36552e-004 90.000
2.4201e+003 5.00000e+000 179.996 3.28815e-004 90.000
2.4771e+003 5.00000e+000 179.996 3.21256e-004 90.000
2.5354e+003 5.00000e+000 179.996 3.13870e-004 90.000
2.5950e+003 5.00000e+000 179.996 3.06654e-004 90.000
2.6561e+003 5.00000e+000 179.997 2.99604e-004 90.000
2.7186e+003 5.00000e+000 179.997 2.92716e-004 90.000
2.7826e+003 5.00000e+000 179.997 2.85987e-004 90.000
2.8480e+003 5.00000e+000 179.997 2.79412e-004 90.000
2.9151e+003 5.00000e+000 179.997 2.72988e-004 90.000
2.9836e+003 5.00000e+000 179.997 2.66712e-004 90.000
3.0539e+003 5.00000e+000 179.997 2.60580e-004 90.000
3.1257e+003 5.00000e+000 179.997 2.54590e-004 90.000
3.1993e+003 5.00000e+000 179.997 2.48737e-004 90.000
3.2745e+003 5.00000e+000 179.997 2.43018e-004 90.000
3.3516e+003 5.00000e+000 179.997 2.37431e-004 90.000
3.4305e+003 5.00000e+000 179.997 2.31973e-004 90.000
3.5112e+003 5.00000e+000 179.997 2.26639e-004 90.000
3.5938e+003 5.00000e+000 179.997 2.21429e-004 90.000
3.6784e+003 5.00000e+000 179.998 2.16338e-004 90.000
3.7649e+003 5.00000e+000 179.998 2.11365e-004 90.000
3.8535e+003 5.00000e+000 179.998 2.06505e-004 90.000
3.9442e+003 5.00000e+000 179.998 2.01758e-004 90.000
4.0370e+003 5.00000e+000 179.998 1.97119e-004 90.000
4.1320e+003 5.00000e+000 179.998 1.92588e-004 90.000
4.2292e+003 5.00000e+000 179.998 1.88160e-004 90.000
4.3288e+003 5.00000e+000 179.998 1.83834e-004 90.000
4.4306e+003 5.00000e+000 179.998 1.79608e-004 90.000
4.5349e+003 5.00000e+000 179.998 1.75479e-004 90.000
4.6416e+003 5.00000e+000 179.998 1.71444e-004 90.000
4.7508e+003 5.00000e+000 179.998 1.67503e-004 90.000
4.8626e+003 5.00000e+000 179.998 1.63652e-004 90.000
4.9770e+003 5.00000e+000 179.998 1.59890e-004 90.000
5.0941e+003 5.00000e+000 179.998 1.56214e-004 90.000
5.2140e+003 5.00000e+000 179.998 1.52622e-004 90.000
5.3367e+003 5.00000e+000 179.998 1.49114e-004 90.000
5.4623e+003 5.00000e+000 179.998 1.45686e-004 90.000
5.5908e+003 5.00000e+000 179.998 1.42336e-004 90.000
5.7224e+003 5.00000e+000 179.998 1.39064e-004 90.000
5.8570e+003 5.00000e+000 179.998 1.35867e-004 90.000
5.9948e+003 5.00000e+000 179.998 1.32743e-004 90.000
6.1359e+003 5.00000e+000 179.999 1.29691e-004 90.000
6.2803e+003 5.00000e+000 179.999 1.26710e-004 90.000
6.4281e+003 5.00000e+000 179.999 1.23797e-004 90.000
6.5793e+003 5.00000e+000 179.999 1.20951e-004 90.000
6.7342e+003 5.00000e+000 179.999 1.18170e-004 90.000
6.8926e+003 5.00000e+000 179.999 1.15453e-004 90.000
7.0548e+003 5.00000e+000 179.999 1.12799e-004 90.000
7.2208e+003 5.00000e+000 179.999 1.10206e-004 90.000
7.3907e+003 5.00000e+000 179.999 1.07672e-004 90.000
7.5646e+003 5.00000e+000 179.999 1.05197e-004 90.000
7.7426e+003 5.00000e+000 179.999 1.02778e-004 90.000
7.9248e+003 5.00000e+000 179.999 1.00415e-004 90.000
8.1113e+003 5.00000e+000 179.999 9.81068e-005 90.000
8.3022e+003 5.00000e+000 179.999 9.58513e-005 90.000
8.4975e+003 5.00000e+000 179.999 9.36477e-005 90.000
8.6975e+003 5.00000e+000 179.999 9.14948e-005 90.000
8.9022e+003 5.00000e+000 179.999 8.93913e-005 90.000
9.1116e+003 5.00000e+000 179.999 8.73362e-005 90.000
9.3260e+003 5.00000e+000 179.999 8.53283e-005 90.000
9.5455e+003 5.00000e+000 179.999 8.33666e-005 90.000
9.7701e+003 5.00000e+000 179.999 8.14500e-005 90.000
1.0000e+004 5.00000e+000 179.999 7.95775e-005 90.000
1.0235e+004 5.00000e+000 179.999 7.77480e-005 90.000
1.0476e+004 5.00000e+000 179.999 7.59606e-005 90.000
1.0723e+004 5.00000e+000 179.999 7.42142e-005 90.000
1.0975e+004 5.00000e+000 179.999 7.25080e-005 90.000
1.1233e+004 5.00000e+000 179.999 7.08411e-005 90.000
1.1498e+004 5.00000e+000 179.999 6.92124e-005 90.000
1.1768e+004 5.00000e+000 179.999 6.76212e-005 90.000
1.2045e+004 5.00000e+000 179.999 6.60666e-005 90.000
1.2328e+004 5.00000e+000 179.999 6.45477e-005 90.000
1.2619e+004 5.00000e+000 179.999 6.30638e-005 90.000
1.2915e+004 5.00000e+000 179.999 6.16139e-005 90.000
1.3219e+004 5.00000e+000 179.999 6.01974e-005 90.000
1.3530e+004 5.00000e+000 179.999 5.88135e-005 90.000
1.3849e+004 5.00000e+000 179.999 5.74614e-005 90.000
1.4175e+004 5.00000e+000 179.999 5.61403e-005 90.000
1.4508e+004 5.00000e+000 179.999 5.48497e-005 90.000
1.4850e+004 5.00000e+000 179.999 5.35887e-005 90.000
1.5199e+004 5.00000e+000 179.999 5.23567e-005 90.000
1.5557e+004 5.00000e+000 179.999 5.11530e-005 90.000
1.5923e+004 5.00000e+000 179.999 4.99770e-005 90.000
1.6298e+004 5.00000e+000 179.999 4.88280e-005 90.000
1.6681e+004 5.00000e+000 179.999 4.77054e-005 90.000
1.7074e+004 5.00000e+000 179.999 4.66087e-005 90.000
1.7475e+004 5.00000e+000 179.999 4.55372e-005 90.000
1.7886e+004 5.00000e+000 179.999 4.44903e-005 90.000
1.8307e+004 5.00000e+000 180.000 4.34674e-005 90.000
1.8738e+004 5.00000e+000 180.000 4.24681e-005 90.000
1.9179e+004 5.00000e+000 180.000 4.14918e-005 90.000
1.9630e+004 5.00000e+000 180.000 4.05379e-005 90.000
2.0092e+004 5.00000e+000 180.000 3.96059e-005 90.000
2.0565e+004 5.00000e+000 180.000 3.86954e-005 90.000
2.1049e+004 5.00000e+000 180.000 3.78057e-005 90.000
2.1544e+004 5.00000e+000 180.000 3.69366e-005 90.000
2.2051e+004 5.00000e+000 180.000 3.60874e-005 90.000
