f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jV0400m jV0400f jV0600m jV0600f jV0200m jV0200f jV0800m jV0800f
1.5557e+000 2.80636e+004 179.952 0.00000e+000 0.000 6.66674e-001 -0.016 0.00000e+000 0.000 2.53905e-001 -179.953 1.00000e+000 0.000 2.90568e+002 -0.048 0.00000e+000 0.000 1.09724e-008 -90.048 1.48942e-014 -89.976 2.80636e+000 179.952 3.50796e+000 -0.048
1.5923e+000 2.80636e+004 179.951 0.00000e+000 0.000 6.66674e-001 -0.016 0.00000e+000 0.000 2.53905e-001 -179.952 1.00000e+000 0.000 2.90568e+002 -0.049 0.00000e+000 0.000 1.12306e-008 -90.049 1.52446e-014 -89.975 2.80636e+000 179.951 3.50796e+000 -0.049
1.6298e+000 2.80636e+004 179.950 0.00000e+000 0.000 6.66674e-001 -0.017 0.00000e+000 0.000 2.53905e-001 -179.951 1.00000e+000 0.000 2.90568e+002 -0.050 0.00000e+000 0.000 1.14949e-008 -90.050 1.56034e-014 -89.974 2.80636e+000 179.950 3.50796e+000 -0.050
1.6681e+000 2.80636e+004 179.949 0.00000e+000 0.000 6.66674e-001 -0.017 0.00000e+000 0.000 2.53905e-001 -179.950 1.00000e+000 0.000 2.90568e+002 -0.051 0.00000e+000 0.000 1.17654e-008 -90.051 1.59705e-014 -89.974 2.80636e+000 179.949 3.50795e+000 -0.051
1.7074e+000 2.80636e+004 179.948 0.00000e+000 0.000 6.66674e-001 -0.017 0.00000e+000 0.000 2.53905e-001 -179.949 1.00000e+000 0.000 2.90568e+002 -0.052 0.00000e+000 0.000 1.20422e-008 -90.052 1.63463e-014 -89.973 2.80636e+000 179.948 3.50795e+000 -0.052
1.7475e+000 2.80636e+004 179.946 0.00000e+000 0.000 6.66674e-001 -0.018 0.00000e+000 0.000 2.53905e-001 -179.948 1.00000e+000 0.000 2.90568e+002 -0.054 0.00000e+000 0.000 1.23256e-008 -90.054 1.67310e-014 -89.973 2.80636e+000 179.946 3.50795e+000 -0.054
1.7886e+000 2.80636e+004 179.945 0.00000e+000 0.000 6.66674e-001 -0.018 0.00000e+000 0.000 2.53905e-001 -179.946 1.00000e+000 0.000 2.90568e+002 -0.055 0.00000e+000 0.000 1.26156e-008 -90.055 1.71247e-014 -89.972 2.80636e+000 179.945 3.50795e+000 -0.055
1.8307e+000 2.80636e+004 179.944 0.00000e+000 0.000 6.66674e-001 -0.019 0.00000e+000 0.000 2.53905e-001 -179.945 1.00000e+000 0.000 2.90568e+002 -0.056 0.00000e+000 0.000 1.29125e-008 -90.056 1.75276e-014 -89.971 2.80636e+000 179.944 3.50795e+000 -0.056
1.8738e+000 2.80636e+004 179.943 0.00000e+000 0.000 6.66674e-001 -0.019 0.00000e+000 0.000 2.53905e-001 -179.944 1.00000e+000 0.000 2.90568e+002 -0.057 0.00000e+000 0.000 1.32163e-008 -90.057 1.79401e-014 -89.971 2.80636e+000 179.943 3.50795e+000 -0.057
1.9179e+000 2.80636e+004 179.941 0.00000e+000 0.000 6.66674e-001 -0.020 0.00000e+000 0.000 2.53905e-001 -179.942 1.00000e+000 0.000 2.90568e+002 -0.059 0.00000e+000 0.000 1.35273e-008 -90.059 1.83622e-014 -89.970 2.80636e+000 179.941 3.50795e+000 -0.059
1.9630e+000 2.80636e+004 179.940 0.00000e+000 0.000 6.66674e-001 -0.020 0.00000e+000 0.000 2.53905e-001 -179.941 1.00000e+000 0.000 2.90568e+002 -0.060 0.00000e+000 0.000 1.38456e-008 -90.060 1.87943e-014 -89.969 2.80636e+000 179.940 3.50795e+000 -0.060
2.0092e+000 2.80636e+004 179.938 0.00000e+000 0.000 6.66674e-001 -0.020 0.00000e+000 0.000 2.53905e-001 -179.940 1.00000e+000 0.000 2.90568e+002 -0.062 0.00000e+000 0.000 1.41714e-008 -90.062 1.92365e-014 -89.969 2.80636e+000 179.938 3.50795e+000 -0.062
2.0565e+000 2.80636e+004 179.937 0.00000e+000 0.000 6.66674e-001 -0.021 0.00000e+000 0.000 2.53905e-001 -179.938 1.00000e+000 0.000 2.90568e+002 -0.063 0.00000e+000 0.000 1.45049e-008 -90.063 1.96892e-014 -89.968 2.80636e+000 179.937 3.50795e+000 -0.063
2.1049e+000 2.80636e+004 179.936 0.00000e+000 0.000 6.66674e-001 -0.021 0.00000e+000 0.000 2.53905e-001 -179.937 1.00000e+000 0.000 2.90568e+002 -0.064 0.00000e+000 0.000 1.48462e-008 -90.064 2.01525e-014 -89.967 2.80636e+000 179.936 3.50795e+000 -0.064
2.1544e+000 2.80636e+004 179.934 0.00000e+000 0.000 6.66674e-001 -0.022 0.00000e+000 0.000 2.53905e-001 -179.935 1.00000e+000 0.000 2.90568e+002 -0.066 0.00000e+000 0.000 1.51956e-008 -90.066 2.06267e-014 -89.966 2.80636e+000 179.934 3.50795e+000 -0.066
2.2051e+000 2.80636e+004 179.932 0.00000e+000 0.000 6.66674e-001 -0.022 0.00000e+000 0.000 2.53905e-001 -179.934 1.00000e+000 0.000 2.90568e+002 -0.068 0.00000e+000 0.000 1.55531e-008 -90.068 2.11121e-014 -89.965 2.80636e+000 179.932 3.50795e+000 -0.068
2.2570e+000 2.80636e+004 179.931 0.00000e+000 0.000 6.66674e-001 -0.023 0.00000e+000 0.000 2.53905e-001 -179.932 1.00000e+000 0.000 2.90568e+002 -0.069 0.00000e+000 0.000 1.59191e-008 -90.069 2.16089e-014 -89.965 2.80636e+000 179.931 3.50795e+000 -0.069
2.3101e+000 2.80636e+004 179.929 0.00000e+000 0.000 6.66674e-001 -0.024 0.00000e+000 0.000 2.53905e-001 -179.931 1.00000e+000 0.000 2.90568e+002 -0.071 0.00000e+000 0.000 1.62937e-008 -90.071 2.21174e-014 -89.964 2.80636e+000 179.929 3.50795e+000 -0.071
2.3645e+000 2.80636e+004 179.928 0.00000e+000 0.000 6.66674e-001 -0.024 0.00000e+000 0.000 2.53905e-001 -179.929 1.00000e+000 0.000 2.90568e+002 -0.072 0.00000e+000 0.000 1.66771e-008 -90.072 2.26378e-014 -89.963 2.80636e+000 179.928 3.50795e+000 -0.072
2.4201e+000 2.80636e+004 179.926 0.00000e+000 0.000 6.66674e-001 -0.025 0.00000e+000 0.000 2.53906e-001 -179.927 1.00000e+000 0.000 2.90568e+002 -0.074 0.00000e+000 0.000 1.70695e-008 -90.074 2.31705e-014 -89.962 2.80636e+000 179.926 3.50795e+000 -0.074
2.4771e+000 2.80636e+004 179.924 0.00000e+000 0.000 6.66674e-001 -0.025 0.00000e+000 0.000 2.53906e-001 -179.926 1.00000e+000 0.000 2.90568e+002 -0.076 0.00000e+000 0.000 1.74712e-008 -90.076 2.37157e-014 -89.961 2.80636e+000 179.924 3.50795e+000 -0.076
2.5354e+000 2.80636e+004 179.922 0.00000e+000 0.000 6.66674e-001 -0.026 0.00000e+000 0.000 2.53906e-001 -179.924 1.00000e+000 0.000 2.90568e+002 -0.078 0.00000e+000 0.000 1.78823e-008 -90.078 2.42738e-014 -89.960 2.80636e+000 179.922 3.50795e+000 -0.078
2.5950e+000 2.80636e+004 179.920 0.00000e+000 0.000 6.66674e-001 -0.026 0.00000e+000 0.000 2.53906e-001 -179.922 1.00000e+000 0.000 2.90568e+002 -0.080 0.00000e+000 0.000 1.83031e-008 -90.080 2.48450e-014 -89.959 2.80636e+000 179.920 3.50795e+000 -0.080
2.6561e+000 2.80636e+004 179.919 0.00000e+000 0.000 6.66674e-001 -0.027 0.00000e+000 0.000 2.53906e-001 -179.920 1.00000e+000 0.000 2.90568e+002 -0.081 0.00000e+000 0.000 1.87338e-008 -90.081 2.54296e-014 -89.958 2.80636e+000 179.919 3.50795e+000 -0.081
2.7186e+000 2.80636e+004 179.917 0.00000e+000 0.000 6.66674e-001 -0.028 0.00000e+000 0.000 2.53906e-001 -179.918 1.00000e+000 0.000 2.90568e+002 -0.083 0.00000e+000 0.000 1.91746e-008 -90.083 2.60280e-014 -89.957 2.80636e+000 179.917 3.50795e+000 -0.083
2.7826e+000 2.80636e+004 179.915 0.00000e+000 0.000 6.66674e-001 -0.028 0.00000e+000 0.000 2.53906e-001 -179.916 1.00000e+000 0.000 2.90568e+002 -0.085 0.00000e+000 0.000 1.96258e-008 -90.085 2.66404e-014 -89.956 2.80636e+000 179.915 3.50795e+000 -0.085
2.8480e+000 2.80636e+004 179.913 0.00000e+000 0.000 6.66674e-001 -0.029 0.00000e+000 0.000 2.53906e-001 -179.915 1.00000e+000 0.000 2.90568e+002 -0.087 0.00000e+000 0.000 2.00876e-008 -90.087 2.72673e-014 -89.955 2.80636e+000 179.913 3.50795e+000 -0.087
2.9151e+000 2.80636e+004 179.911 0.00000e+000 0.000 6.66674e-001 -0.030 0.00000e+000 0.000 2.53906e-001 -179.913 1.00000e+000 0.000 2.90568e+002 -0.089 0.00000e+000 0.000 2.05603e-008 -90.089 2.79090e-014 -89.954 2.80636e+000 179.911 3.50795e+000 -0.089
2.9836e+000 2.80636e+004 179.909 0.00000e+000 0.000 6.66674e-001 -0.030 0.00000e+000 0.000 2.53906e-001 -179.910 1.00000e+000 0.000 2.90568e+002 -0.091 0.00000e+000 0.000 2.10441e-008 -90.091 2.85657e-014 -89.953 2.80636e+000 179.909 3.50795e+000 -0.091
3.0539e+000 2.80636e+004 179.906 0.00000e+000 0.000 6.66674e-001 -0.031 0.00000e+000 0.000 2.53906e-001 -179.908 1.00000e+000 0.000 2.90568e+002 -0.094 0.00000e+000 0.000 2.15393e-008 -90.094 2.92379e-014 -89.952 2.80636e+000 179.906 3.50795e+000 -0.094
3.1257e+000 2.80636e+004 179.904 0.00000e+000 0.000 6.66674e-001 -0.032 0.00000e+000 0.000 2.53906e-001 -179.906 1.00000e+000 0.000 2.90568e+002 -0.096 0.00000e+000 0.000 2.20462e-008 -90.096 2.99259e-014 -89.951 2.80636e+000 179.904 3.50795e+000 -0.096
3.1993e+000 2.80636e+004 179.902 0.00000e+000 0.000 6.66674e-001 -0.033 0.00000e+000 0.000 2.53906e-001 -179.904 1.00000e+000 0.000 2.90568e+002 -0.098 0.00000e+000 0.000 2.25649e-008 -90.098 3.06301e-014 -89.950 2.80636e+000 179.902 3.50795e+000 -0.098
3.2745e+000 2.80636e+004 179.900 0.00000e+000 0.000 6.66674e-001 -0.033 0.00000e+000 0.000 2.53906e-001 -179.902 1.00000e+000 0.000 2.90568e+002 -0.100 0.00000e+000 0.000 2.30959e-008 -90.100 3.13508e-014 -89.949 2.80636e+000 179.900 3.50795e+000 -0.100
3.3516e+000 2.80636e+004 179.897 0.00000e+000 0.000 6.66674e-001 -0.034 0.00000e+000 0.000 2.53906e-001 -179.899 1.00000e+000 0.000 2.90568e+002 -0.103 0.00000e+000 0.000 2.36394e-008 -90.103 3.20885e-014 -89.948 2.80636e+000 179.897 3.50795e+000 -0.103
3.4305e+000 2.80636e+004 179.895 0.00000e+000 0.000 6.66674e-001 -0.035 0.00000e+000 0.000 2.53906e-001 -179.897 1.00000e+000 0.000 2.90568e+002 -0.105 0.00000e+000 0.000 2.41956e-008 -90.105 3.28436e-014 -89.946 2.80636e+000 179.895 3.50795e+000 -0.105
3.5112e+000 2.80636e+004 179.892 0.00000e+000 0.000 6.66674e-001 -0.036 0.00000e+000 0.000 2.53906e-001 -179.895 1.00000e+000 0.000 2.90568e+002 -0.108 0.00000e+000 0.000 2.47650e-008 -90.108 3.36165e-014 -89.945 2.80636e+000 179.892 3.50795e+000 -0.108
3.5938e+000 2.80636e+004 179.890 0.00000e+000 0.000 6.66674e-001 -0.037 0.00000e+000 0.000 2.53906e-001 -179.892 1.00000e+000 0.000 2.90568e+002 -0.110 0.00000e+000 0.000 2.53477e-008 -90.110 3.44075e-014 -89.944 2.80636e+000 179.890 3.50795e+000 -0.110
3.6784e+000 2.80636e+004 179.887 0.00000e+000 0.000 6.66674e-001 -0.037 0.00000e+000 0.000 2.53906e-001 -179.890 1.00000e+000 0.000 2.90568e+002 -0.113 0.00000e+000 0.000 2.59442e-008 -90.113 3.52171e-014 -89.942 2.80636e+000 179.887 3.50795e+000 -0.113
3.7649e+000 2.80636e+004 179.885 0.00000e+000 0.000 6.66674e-001 -0.038 0.00000e+000 0.000 2.53906e-001 -179.887 1.00000e+000 0.000 2.90568e+002 -0.115 0.00000e+000 0.000 2.65547e-008 -90.115 3.60458e-014 -89.941 2.80636e+000 179.885 3.50795e+000 -0.115
3.8535e+000 2.80636e+004 179.882 0.00000e+000 0.000 6.66674e-001 -0.039 0.00000e+000 0.000 2.53906e-001 -179.884 1.00000e+000 0.000 2.90568e+002 -0.118 0.00000e+000 0.000 2.71795e-008 -90.118 3.68940e-014 -89.940 2.80636e+000 179.882 3.50795e+000 -0.118
3.9442e+000 2.80636e+004 179.879 0.00000e+000 0.000 6.66674e-001 -0.040 0.00000e+000 0.000 2.53907e-001 -179.882 1.00000e+000 0.000 2.90568e+002 -0.121 0.00000e+000 0.000 2.78191e-008 -90.121 3.77622e-014 -89.938 2.80636e+000 179.879 3.50795e+000 -0.121
