f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f 19m 19f 20m 20f 21m 21f 22m 22f 23m 23f 24m 24f jV0013m jV0013f jV0014m jV0014f jV0015m jV0015f jV0016m jV0016f jV0017m jV0017f jV0018m jV0018f jV0020m jV0020f jV0019m jV0019f jV0022m jV0022f jV0021m jV0021f jV0024m jV0024f jV0023m jV0023f jV0100m jV0100f jV0200m jV0200f jV0300m jV0300f jV0400m jV0400f jV0500m jV0500f jV0600m jV0600f jV0800m jV0800f jV0700m jV0700f jV1000m jV1000f jV0900m jV0900f jV1200m jV1200f jV1100m jV1100f
1.2915e+004 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 7.03304e-010 -90.000 2.20000e-004 180.000 9.73806e-010 -90.000 1.00500e-004 180.000 9.73806e-010 -90.000 8.11505e-011 90.000 7.03304e-010 -90.000 2.20000e-004 180.000 9.73806e-010 -90.000 1.00500e-004 180.000 9.73806e-010 -90.000 8.11505e-011 90.000 2.81322e-010 -90.000 2.20000e-004 180.000 3.89522e-010 -90.000 1.00500e-004 180.000 3.89522e-010 -90.000 3.24602e-011 90.000 2.81322e-010 -90.000 2.20000e-004 180.000 3.89522e-010 -90.000 1.00500e-004 180.000 3.89522e-010 -90.000 3.24602e-011 90.000
1.6681e+004 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 9.08352e-010 -90.000 2.20000e-004 180.000 1.25772e-009 -90.000 1.00500e-004 180.000 1.25772e-009 -90.000 1.04810e-010 90.000 9.08352e-010 -90.000 2.20000e-004 180.000 1.25772e-009 -90.000 1.00500e-004 180.000 1.25772e-009 -90.000 1.04810e-010 90.000 3.63341e-010 -90.000 2.20000e-004 180.000 5.03087e-010 -90.000 1.00500e-004 180.000 5.03087e-010 -90.000 4.19239e-011 90.000 3.63341e-010 -90.000 2.20000e-004 180.000 5.03087e-010 -90.000 1.00500e-004 180.000 5.03087e-010 -90.000 4.19239e-011 90.000
2.1544e+004 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 1.17318e-009 -90.000 2.20000e-004 180.000 1.62441e-009 -90.000 1.00500e-004 180.000 1.62441e-009 -90.000 1.35367e-010 90.000 1.17318e-009 -90.000 2.20000e-004 180.000 1.62441e-009 -90.000 1.00500e-004 180.000 1.62441e-009 -90.000 1.35367e-010 90.000 4.69273e-010 -90.000 2.20000e-004 180.000 6.49762e-010 -90.000 1.00500e-004 180.000 6.49762e-010 -90.000 5.41468e-011 90.000 4.69273e-010 -90.000 2.20000e-004 180.000 6.49762e-010 -90.000 1.00500e-004 180.000 6.49762e-010 -90.000 5.41468e-011 90.000
2.7826e+004 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 1.51522e-009 -90.000 2.20000e-004 180.000 2.09800e-009 -90.000 1.00500e-004 179.999 2.09800e-009 -90.000 1.74833e-010 90.000 1.51522e-009 -90.000 2.20000e-004 180.000 2.09800e-009 -90.000 1.00500e-004 179.999 2.09800e-009 -90.000 1.74833e-010 90.000 6.06089e-010 -90.000 2.20000e-004 180.000 8.39200e-010 -90.000 1.00500e-004 180.000 8.39200e-010 -90.000 6.99333e-011 90.000 6.06089e-010 -90.000 2.20000e-004 180.000 8.39200e-010 -90.000 1.00500e-004 180.000 8.39200e-010 -90.000 6.99333e-011 90.000
3.5938e+004 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 1.95699e-009 -90.000 2.20000e-004 180.000 2.70967e-009 -90.000 1.00500e-004 179.999 2.70967e-009 -90.000 2.25806e-010 90.000 1.95699e-009 -90.000 2.20000e-004 180.000 2.70967e-009 -90.000 1.00500e-004 179.999 2.70967e-009 -90.000 2.25806e-010 90.000 7.82794e-010 -90.000 2.20000e-004 180.000 1.08387e-009 -90.000 1.00500e-004 180.000 1.08387e-009 -90.000 9.03224e-011 90.000 7.82794e-010 -90.000 2.20000e-004 180.000 1.08387e-009 -90.000 1.00500e-004 180.000 1.08387e-009 -90.000 9.03224e-011 90.000
4.6416e+004 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 2.52754e-009 -90.000 2.20000e-004 180.000 3.49968e-009 -90.000 1.00500e-004 179.999 3.49968e-009 -90.000 2.91640e-010 90.000 2.52754e-009 -90.000 2.20000e-004 180.000 3.49968e-009 -90.000 1.00500e-004 179.999 3.49968e-009 -90.000 2.91640e-010 90.000 1.01102e-009 -90.000 2.20000e-004 180.000 1.39987e-009 -90.000 1.00500e-004 180.000 1.39987e-009 -90.000 1.16656e-010 90.000 1.01102e-009 -90.000 2.20000e-004 180.000 1.39987e-009 -90.000 1.00500e-004 180.000 1.39987e-009 -90.000 1.16656e-010 90.000
5.9948e+004 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 3.26445e-009 -90.000 2.20000e-004 180.000 4.52000e-009 -90.000 1.00500e-004 179.999 4.52000e-009 -90.000 3.76667e-010 90.000 3.26445e-009 -90.000 2.20000e-004 180.000 4.52000e-009 -90.000 1.00500e-004 179.999 4.52000e-009 -90.000 3.76667e-010 90.000 1.30578e-009 -90.000 2.20000e-004 180.000 1.80800e-009 -90.000 1.00500e-004 179.999 1.80800e-009 -90.000 1.50667e-010 90.000 1.30578e-009 -90.000 2.20000e-004 180.000 1.80800e-009 -90.000 1.00500e-004 179.999 1.80800e-009 -90.000 1.50667e-010 90.000
7.7426e+004 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 4.21620e-009 -90.000 2.20000e-004 180.000 5.83781e-009 -90.000 1.00500e-004 179.998 5.83781e-009 -90.000 4.86484e-010 90.000 4.21620e-009 -90.000 2.20000e-004 180.000 5.83781e-009 -90.000 1.00500e-004 179.998 5.83781e-009 -90.000 4.86484e-010 90.000 1.68648e-009 -90.000 2.20000e-004 180.000 2.33512e-009 -90.000 1.00500e-004 179.999 2.33512e-009 -90.000 1.94594e-010 90.000 1.68648e-009 -90.000 2.20000e-004 180.000 2.33512e-009 -90.000 1.00500e-004 179.999 2.33512e-009 -90.000 1.94594e-010 90.000
1.0000e+005 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 5.44543e-009 -90.000 2.20000e-004 180.000 7.53982e-009 -90.000 1.00500e-004 179.998 7.53982e-009 -90.000 6.28319e-010 90.000 5.44543e-009 -90.000 2.20000e-004 180.000 7.53982e-009 -90.000 1.00500e-004 179.998 7.53982e-009 -90.000 6.28319e-010 90.000 2.17817e-009 -90.000 2.20000e-004 180.000 3.01593e-009 -90.000 1.00500e-004 179.999 3.01593e-009 -90.000 2.51327e-010 90.000 2.17817e-009 -90.000 2.20000e-004 180.000 3.01593e-009 -90.000 1.00500e-004 179.999 3.01593e-009 -90.000 2.51327e-010 90.000
1.2915e+005 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 7.03304e-009 -90.000 2.20000e-004 180.000 9.73806e-009 -90.000 1.00500e-004 179.997 9.73806e-009 -90.000 8.11505e-010 90.000 7.03304e-009 -90.000 2.20000e-004 180.000 9.73806e-009 -90.000 1.00500e-004 179.997 9.73806e-009 -90.000 8.11505e-010 90.000 2.81322e-009 -90.000 2.20000e-004 180.000 3.89522e-009 -90.000 1.00500e-004 179.999 3.89522e-009 -90.000 3.24602e-010 90.000 2.81322e-009 -90.000 2.20000e-004 180.000 3.89522e-009 -90.000 1.00500e-004 179.999 3.89522e-009 -90.000 3.24602e-010 90.000
1.6681e+005 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 9.08352e-009 -90.000 2.20000e-004 180.000 1.25772e-008 -90.000 1.00500e-004 179.996 1.25772e-008 -90.000 1.04810e-009 90.000 9.08352e-009 -90.000 2.20000e-004 180.000 1.25772e-008 -90.000 1.00500e-004 179.996 1.25772e-008 -90.000 1.04810e-009 90.000 3.63341e-009 -90.000 2.20000e-004 180.000 5.03087e-009 -90.000 1.00500e-004 179.999 5.03087e-009 -90.000 4.19239e-010 90.000 3.63341e-009 -90.000 2.20000e-004 180.000 5.03087e-009 -90.000 1.00500e-004 179.999 5.03087e-009 -90.000 4.19239e-010 90.000
2.1544e+005 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 1.17318e-008 -90.000 2.20000e-004 180.000 1.62441e-008 -90.000 1.00500e-004 179.995 1.62441e-008 -90.000 1.35367e-009 90.000 1.17318e-008 -90.000 2.20000e-004 180.000 1.62441e-008 -90.000 1.00500e-004 179.995 1.62441e-008 -90.000 1.35367e-009 90.000 4.69273e-009 -90.000 2.20000e-004 180.000 6.49762e-009 -90.000 1.00500e-004 179.998 6.49762e-009 -90.000 5.41468e-010 90.000 4.69273e-009 -90.000 2.20000e-004 180.000 6.49762e-009 -90.000 1.00500e-004 179.998 6.49762e-009 -90.000 5.41468e-010 90.000
