f 1m 1f 2m 2f 3m 3f 4m 4f jV0001m jV0001f jV0002m jV0002f jV0003m jV0003f jV0004m jV0004f
1.6681e+006 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 9.08352e-008 -90.000 2.20000e-004 179.997 1.25772e-007 -90.000 1.00500e-004 179.964
2.1544e+006 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.17318e-007 -90.000 2.20000e-004 179.996 1.62441e-007 -90.000 1.00500e-004 179.954
2.7826e+006 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.51522e-007 -90.000 2.20000e-004 179.995 2.09800e-007 -90.000 1.00500e-004 179.940
3.5938e+006 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.95699e-007 -90.000 2.20000e-004 179.994 2.70967e-007 -90.000 1.00500e-004 179.923
4.6416e+006 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 2.52754e-007 -90.000 2.20000e-004 179.992 3.49968e-007 -90.000 1.00500e-004 179.900
5.9948e+006 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 3.26445e-007 -90.000 2.20000e-004 179.990 4.52000e-007 -90.000 1.00500e-004 179.871
7.7426e+006 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 4.21620e-007 -90.000 2.20000e-004 179.987 5.83781e-007 -90.000 1.00500e-004 179.834
1.0000e+007 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 5.44543e-007 -90.000 2.20000e-004 179.984 7.53982e-007 -90.000 1.00501e-004 179.785
1.2915e+007 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 7.03304e-007 -90.000 2.20000e-004 179.979 9.73806e-007 -90.000 1.00501e-004 179.722
1.6681e+007 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 9.08352e-007 -90.000 2.20000e-004 179.973 1.25772e-006 -90.000 1.00502e-004 179.641
2.1544e+007 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.17318e-006 -90.000 2.20000e-004 179.965 1.62441e-006 -90.000 1.00503e-004 179.537
